DATE,Cash
4/20/2010,1
4/21/2010,100
4/22/2010,103
4/23/2010,44
4/24/2010,61
4/25/2010,89
4/26/2010,11
4/27/2010,2
4/28/2010,107
4/29/2010,89
4/30/2010,90
